,raw_series,harmonic_2,harmonic_3,harmonic_4,harmonic_5,harmonic_6,harmonic_7,harmonic_17,harmonic_94,harmonic_95,harmonic_96,harmonic_97,harmonic_98,harmonic_99,all_13_harmonics
32,0.0525,0.04406685827102421,-0.058489436762214374,0.01781401860033219,0.01744174106468187,-0.020966806881877246,0.005398046870186929,-0.008285272755980243,0.01744174106468186,0.01781401860033218,-0.05848943676221436,0.04406685827102421,0.017271129321823776,0.0,0.038058781570454725
33,0.0933,0.05520218419862604,-0.05944734238216239,0.00930073348118689,0.027394083641096988,-0.021715134683594376,0.004038038496011353,-0.003623724863992057,0.02739408364109698,0.00930073348118689,-0.05944734238216238,0.05520218419862604,0.012535623863686866,0.0,0.06098387119579446
34,0.0641,0.06544928631817416,-0.05825666615987924,0.00019124718996472903,0.03461091426409005,-0.019352462520871038,0.0018940573711563634,0.004862511883584198,0.03461091426409004,0.00019124718996473353,-0.05825666615987924,0.06544928631817415,0.007749641872621211,0.0,0.07223018870780425
35,0.0749,0.0746432849206811,-0.05496044223631485,-0.008930498542842762,0.03837157636074314,-0.014217276574949738,-0.0006176491651024092,0.008216572290702558,0.03837157636074313,-0.008930498542842755,-0.05496044223631485,0.0746432849206811,0.002932454808922328,0.0,0.0733041492249071
36,0.0757,0.08263624512696573,-0.04967780473229456,-0.017479776124698136,0.038300538620976494,-0.007045264813136802,-0.0030094410161994422,0.002898386969770885,0.038300538620976494,-0.017479776124698133,-0.04967780473229456,0.08263624512696573,-0.0018965402153004536,0.0,0.07572521155050872
37,0.1164,0.08929955721523695,-0.04259968193099138,-0.02490855465835843,0.03440489471467963,0.0011360807107043838,-0.004816959152767059,-0.005478923632060891,0.03440489471467963,-0.02490855465835842,-0.04259968193099139,0.08929955721523695,-0.0067178985414482585,0.0,0.08889369118845468
38,0.1172,0.09452600599966077,-0.03398189563231351,-0.030740630145738263,0.02707365493369395,0.009154666615408922,-0.0056892794895525905,-0.008073461274392579,0.02707365493369395,-0.03074063014573826,-0.03398189563231352,0.09452600599966077,-0.01151220626121007,0.0,0.10998201342267179
39,0.118,0.09823149596283533,-0.024135915086518352,-0.034602151400987644,0.017038900493694907,0.015861717135692465,-0.005457043716926533,-0.002146800834325141,0.017038900493694907,-0.03460215140098763,-0.024135915086518352,0.09823149596283534,-0.016260158389519476,0.0,0.1255970412268809
40,0.1188,0.1003564043841459,-0.013417599683983041,-0.03624558488247393,0.005302679540548977,0.020296352487287946,-0.004165339695653871,0.0060457173996933235,0.005302679540548984,-0.03624558488247392,-0.013417599683983037,0.10035640438414589,-0.02094263659891585,0.0,0.12381146276556439
41,0.0496,0.10086654069165879,-0.0022143372696535935,-0.035565582235696454,-0.006963055137472072,0.021823248477085805,-0.0020649477874426637,0.007857235742575292,-0.006963055137472063,-0.03556558223569644,-0.002214337269653585,0.10086654069165879,-0.02554078620230148,0.0,0.10530899843316417
42,0.0104,0.09975369660122248,0.009068957063000626,-0.03260573339642146,-0.018533474695248835,0.020223655673448658,0.0004363473807374266,0.0013757729380834162,-0.018533474695248825,-0.03260573339642145,0.009068957063000626,0.09975369660122248,-0.030036092074111786,0.0,0.08315378680235105
43,0.0612,0.09703577819083238,0.02002447565846084,-0.027555772362587456,-0.0282531829012051,0.0157267383540908,0.002852927047402022,-0.006557760214351639,-0.028253182901205088,-0.027555772362587452,0.020024475658460845,0.09703577819083238,-0.034410453204191185,0.0,0.07136455316324077
44,0.092,0.09275651778513294,0.03025625753036185,-0.020739414752258812,-0.035151591422125754,0.008976743484295072,0.004715619705052531,-0.007569853867150187,-0.03515159142212574,-0.02073941475225881,0.030256257530361836,0.09275651778513294,-0.03864625558417233,0.0,0.07297230848872009
45,0.1027,0.0869847702859434,0.0393944994232055,-0.012593606791751248,-0.038539840604379,0.0009407032333702344,0.005662789304916499,-0.0005922858290706984,-0.03853984060437899,-0.01259360679175125,0.0393944994232055,0.08698477028594337,-0.04272644313287114,0.0,0.0786533631392307
46,0.1035,0.07981340527111244,0.04710892146552739,-0.0036405159276850885,-0.03807958745899468,-0.007230106051604155,0.0055105457832169795,0.007010414937014493,-0.03807958745899468,-0.003640515927685091,0.0471089214655274,0.07981340527111244,-0.04663458637510572,0.0,0.07697934937367401
47,0.1043,0.0713578126882461,0.05312070434498745,0.005545941462520178,-0.033816791836183344,-0.014365100454599732,0.004288446751303593,0.007213918222883305,-0.03381679183618334,0.005545941462520178,0.05312070434498745,0.0713578126882461,-0.05035494859739442,0.0,0.06632520626365565
48,0.1251,0.06175404618725579,0.05721256656477446,0.014376889601018324,-0.026177126977436477,-0.019442091181605833,0.002233758976345139,-0.0001965651121278135,-0.02617712697743648,0.014376889601018314,0.057212566564774484,0.061754046187255794,-0.053872549214146755,0.0,0.056931562537602884
49,0.1159,0.05115663396620112,0.05923661756302232,0.022286241776328746,-0.015923472737216116,-0.021733727552955114,-0.0002546062315476263,-0.007399582256418135,-0.015923472737216122,0.022286241776328736,0.05923661756302232,0.051156633966201105,-0.05717322408919428,0.0,0.06098971894850571
50,0.1067,0.03973609235473727,0.0591197028630409,0.02876698797178695,-0.004079736106092309,-0.02091170026853698,-0.002693540422900138,-0.006792652218087117,-0.004079736106092314,0.02876698797178694,0.05911970286304088,0.03973609235473727,-0.060243682569767774,0.0,0.08003792984364665
51,0.0675,0.027676182142540105,0.05686604806670578,0.03340369552442281,0.008171393852409703,-0.01709377635535153,-0.004609532028020982,0.0009836359292320351,0.008171393852409692,0.033403695524422794,0.05686604806670578,0.02767618214254011,-0.06307156100326522,0.0,0.1016170289252746
52,-0.0018,0.015170951799411449,0.05255710613019685,0.03589913943762172,0.01960654668781306,-0.010826927376376456,-0.00563059717146445,0.007721737813053997,0.01960654668781305,0.035899139437621706,0.05255710613019687,0.015170951799411457,-0.06564547252131694,0.0,0.10850203687601265
53,-0.011,0.002421615162760316,0.04634861344193823,0.03609335527536252,0.029083833601051462,-0.003008968023291947,-0.00555849919701269,0.0063098709029357145,0.029083833601051448,0.036093355275362504,0.04634861344193824,0.002421615162760325,-0.06795505289068579,0.0,0.09204871676339636
54,0.0098,-0.010366686168363195,0.03846496110375353,0.03397389329802724,0.0356568739072722,0.0052400685277864435,-0.004407235704590815,-0.0017617987870413398,0.035656873907272194,0.03397389329802723,0.038464961103753526,-0.010366686168363198,-0.06999100224637635,0.0,0.05738995834156201
55,0.0006,-0.022988183638388934,0.029191084851800542,0.02967661652304514,0.038669298495408636,0.012738391199299303,-0.0024003209593060747,-0.007973964116314161,0.038669298495408636,0.02967661652304514,0.029191084851800546,-0.022988183638388938,-0.07174512253890886,0.0,0.015969546865933618
56,-0.0286,-0.03523979262831291,0.018862166736673736,0.023476991552611157,0.03782029338031008,0.018411759287500808,7.26087154647033e-05,-0.005769946419779648,0.03782029338031007,0.023476991552611157,0.018862166736673742,-0.03523979262831291,-0.0732103505449711,0.0,-0.027129234201746236
57,-0.0178,-0.0469243801632394,0.007851520770787476,0.015772430449041253,0.03319463831483471,0.021447382626553897,0.00253144163151404,0.0025240065222139063,0.033194638314834705,0.015772430449041256,0.007851520770787476,-0.04692438016323941,-0.07438078630852579,0.0,-0.07873651344968946
